timestamp,cpu_pct,mem_mb,threads
10:04:44,0,52.6,31
10:04:46,0,52.6,31
10:04:48,0,52.6,31
10:04:50,0,52.6,31
10:04:52,0,52.6,31
10:04:54,0,53.2,31
10:04:56,0,53.4,30
10:04:58,0,53.4,30
10:05:00,0,52.3,30
10:05:02,0,52.3,30
10:05:04,0,52.9,30
10:05:06,0,52.9,30
10:05:08,0,52.9,30
10:05:10,0,52.9,30
10:05:12,0,52.9,30
10:05:14,0,52.7,30
10:05:16,0,52.8,31
10:05:18,0,52.8,31
10:05:20,0,52.8,31
10:05:22,0,52.8,31
10:05:24,0,53.4,31
10:05:26,0,53.4,31
10:05:28,0,52.3,31
10:05:30,0,52.3,31
10:05:32,0,52.3,31
10:05:34,0,52.9,31
10:05:36,0,52.9,31
10:05:38,0,52.9,31
10:05:40,0,52.9,31
10:05:42,0,52.9,31
10:05:44,0,52.8,31
10:05:46,0,52.8,31
10:05:48,0,52.8,31
10:05:50,0,52.8,31
10:05:52,0,52.8,31
10:05:54,0,53.4,32
10:05:56,0,53.4,32
10:05:58,0,52.3,32
10:06:00,0,52.3,32
10:06:02,0,52.3,32
10:06:04,0,52.9,32
10:06:06,0,52.9,32
10:06:08,0,52.9,32
10:06:10,0,52.9,32
10:06:12,0,52.9,32
10:06:14,0,52.8,32
10:06:16,0,52.8,32
10:06:18,0,52.8,32
10:06:20,0,52.8,32
10:06:22,0,52.8,32
10:06:24,0,53.4,32
10:06:26,0,53.4,32
10:06:28,0,52.3,32
10:06:30,0,52.3,32
10:06:32,0,52.3,32
10:06:34,0,52.9,32
10:06:36,0,52.9,32
10:06:38,0,52.9,32
10:06:41,0,52.9,32
10:06:43,0,52.9,32
10:06:45,0,52.8,32
10:06:47,0,52.8,32
10:06:49,0,52.8,32
10:06:51,0,52.8,32
10:06:53,0,52.8,32
10:06:55,0,53.4,32
10:06:57,0,53.4,31
10:06:59,0,52.3,31
10:07:01,0,52.3,31
10:07:03,0,52.3,31
10:07:05,0,52.9,31
10:07:07,0,52.9,31
10:07:09,0,52.9,30
10:07:11,0,52.9,30
10:07:13,0,52.9,30
10:07:15,0,52.8,30
10:07:17,0,52.8,30
10:07:19,0,52.8,30
10:07:21,0,52.8,30
10:07:23,0,52.8,30
10:07:25,0,53.4,30
10:07:27,0,53.4,30
10:07:29,0,52.3,30
10:07:31,0,52.3,30
10:07:33,0,52.3,30
10:07:35,0,52.9,30
10:07:37,0,52.9,30
10:07:39,0,52.9,30
10:07:41,0,52.9,30
10:07:43,0,52.9,30
10:07:45,0,52.8,30
10:07:47,0,52.8,30
10:07:49,0,52.8,30
10:07:51,0,52.8,30
10:07:53,0,52.8,30
10:07:55,0,53.4,30
10:07:57,0,53.4,30
10:07:59,0,52.3,30
10:08:01,0,52.3,30
10:08:03,0,52.3,30
10:08:05,0,52.9,30
10:08:07,0,52.9,30
10:08:09,0,52.9,30
10:08:11,0,52.9,30
10:08:13,0,52.9,30
10:08:15,0,52.8,30
10:08:17,0,52.8,30
10:08:19,0,52.8,30
10:08:21,0,52.8,30
10:08:23,0,52.8,30
10:08:25,0,53.4,30
10:08:27,0,53.4,30
10:08:29,0,52.3,30
10:08:31,0,52.3,30
10:08:33,0,52.9,30
10:08:35,0,52.9,30
10:08:37,0,52.9,30
10:08:39,0,52.9,30
10:08:42,0,52.9,30
10:08:44,0,52.8,30
10:08:46,0,52.8,30
10:08:48,0,52.8,30
10:08:50,0,52.8,30
10:08:52,0,52.8,30
10:08:54,0,53.4,30
10:08:56,0,53.4,31
10:08:58,0,53.4,31
10:09:00,0,52.3,31
10:09:02,0,52.3,31
10:09:04,0,52.9,31
10:09:06,0,52.9,31
10:09:08,0,52.9,31
10:09:10,0,52.9,31
10:09:12,0,52.9,31
10:09:14,0,52.8,31
10:09:16,0,52.8,31
10:09:18,0,52.8,31
10:09:20,0,52.8,31
10:09:22,0,52.8,31
10:09:24,0,53.4,31
10:09:26,0,53.4,31
10:09:28,0,53.4,31
10:09:30,0,52.3,31
10:09:32,0,52.3,31
10:09:34,0,52.9,31
10:09:36,0,52.9,31
10:09:38,0,52.9,31
10:09:40,0,52.9,31
10:09:42,0,52.9,31
10:09:44,0,52.8,31
10:09:46,0,52.8,31
10:09:48,0,52.8,31
10:09:50,0,52.8,31
10:09:52,0,52.8,31
